Date,High,Low,Open,Close,Volume,Adj Close
2/01/2018,43.07500076,42.31499863,42.54000092,43.06499863,102223600,41.1055336
3/01/2018,43.63750076,42.99000168,43.13249969,43.05749893,118071600,41.09837341
4/01/2018,43.36750031,43.02000046,43.13499832,43.25749969,89738400,41.28926849
5/01/2018,43.84249878,43.26250076,43.36000061,43.75,94640000,41.75936127
8/01/2018,43.90250015,43.48249817,43.58750153,43.58750153,82271200,41.60426331
9/01/2018,43.76499939,43.35250092,43.63750076,43.58250046,86336000,41.59948349
10/01/2018,43.57500076,43.25,43.29000092,43.57249832,95839600,41.58993912
11/01/2018,43.87250137,43.62250137,43.64749908,43.81999969,74670800,41.82617188
12/01/2018,44.34000015,43.91249847,44.04499817,44.27249908,101672400,42.25809097
16/01/2018,44.84749985,44.03499985,44.47499847,44.04750061,118263600,42.04332733
17/01/2018,44.8125,43.76750183,44.03749847,44.77500153,137547200,42.73773193
18/01/2018,45.02500153,44.5625,44.84249878,44.81499863,124773600,42.77590942
19/01/2018,44.89500046,44.35250092,44.65250015,44.61500168,129700400,42.58500671
22/01/2018,44.44499969,44.15000153,44.32500076,44.25,108434400,42.23661804
23/01/2018,44.86000061,44.20500183,44.32500076,44.25999832,130756400,42.24616241
24/01/2018,44.32500076,43.29999924,44.3125,43.55500031,204420400,41.57323456
25/01/2018,43.73749924,42.63249969,43.62749863,42.77750015,166116000,40.83111572
26/01/2018,43,42.51499939,43,42.87749863,156572000,40.92655563
29/01/2018,42.54000092,41.76750183,42.54000092,41.99000168,202561600,40.07944107
30/01/2018,41.84249878,41.17499924,41.38249969,41.74250031,184192800,39.84320831
31/01/2018,42.11000061,41.625,41.71749878,41.85749817,129915600,39.95297623
1/02/2018,42.15499878,41.68999863,41.79249954,41.94499969,188923200,40.03649902
2/02/2018,41.70000076,40.02500153,41.5,40.125,346375200,38.29929733
5/02/2018,40.97000122,39,39.77500153,39.12250137,290954000,37.34241104
6/02/2018,40.93000031,38.5,38.70750046,40.75749969,272975200,38.90301895
7/02/2018,40.84999847,39.76750183,40.77249908,39.88499832,206434400,38.07022476
8/02/2018,40.25,38.75749969,40.07249832,38.78749847,217562000,37.0226593
9/02/2018,39.47249985,37.56000137,39.26750183,39.10250092,282690400,37.47550201
